,Survived,Pclass,Sex,Age,Fare,Embarked,Class
644,1,3,female,0.75,19.2583,Cherbourg,3rd Class
645,1,1,male,48.0,76.7292,Cherbourg,1st Class
646,0,3,male,19.0,7.8958,Southampton,3rd Class
647,1,1,male,56.0,35.5,Cherbourg,1st Class
649,1,3,female,23.0,7.55,Southampton,3rd Class
651,1,2,female,18.0,23.0,Southampton,2nd Class
652,0,3,male,21.0,8.4333,Southampton,3rd Class
654,0,3,female,18.0,6.75,Queenstown,3rd Class
655,0,2,male,24.0,73.5,Southampton,2nd Class
657,0,3,female,32.0,15.5,Queenstown,3rd Class
658,0,2,male,23.0,13.0,Southampton,2nd Class
659,0,1,male,58.0,113.275,Cherbourg,1st Class
660,1,1,male,50.0,133.65,Southampton,1st Class
661,0,3,male,40.0,7.225,Cherbourg,3rd Class
662,0,1,male,47.0,25.5875,Southampton,1st Class
663,0,3,male,36.0,7.4958,Southampton,3rd Class
664,1,3,male,20.0,7.925,Southampton,3rd Class
665,0,2,male,32.0,73.5,Southampton,2nd Class
666,0,2,male,25.0,13.0,Southampton,2nd Class
668,0,3,male,43.0,8.05,Southampton,3rd Class
670,1,2,female,40.0,39.0,Southampton,2nd Class
671,0,1,male,31.0,52.0,Southampton,1st Class
672,0,2,male,70.0,10.5,Southampton,2nd Class
673,1,2,male,31.0,13.0,Southampton,2nd Class
675,0,3,male,18.0,7.775,Southampton,3rd Class
676,0,3,male,24.5,8.05,Southampton,3rd Class
677,1,3,female,18.0,9.8417,Southampton,3rd Class
678,0,3,female,43.0,46.9,Southampton,3rd Class
679,1,1,male,36.0,512.3292,Cherbourg,1st Class
681,1,1,male,27.0,76.7292,Cherbourg,1st Class
682,0,3,male,20.0,9.225,Southampton,3rd Class
683,0,3,male,14.0,46.9,Southampton,3rd Class
684,0,2,male,60.0,39.0,Southampton,2nd Class
685,0,2,male,25.0,41.5792,Cherbourg,2nd Class
686,0,3,male,14.0,39.6875,Southampton,3rd Class
687,0,3,male,19.0,10.1708,Southampton,3rd Class
688,0,3,male,18.0,7.7958,Southampton,3rd Class
689,1,1,female,15.0,211.3375,Southampton,1st Class
690,1,1,male,31.0,57.0,Southampton,1st Class
691,1,3,female,4.0,13.4167,Cherbourg,3rd Class
693,0,3,male,25.0,7.225,Cherbourg,3rd Class
694,0,1,male,60.0,26.55,Southampton,1st Class
695,0,2,male,52.0,13.5,Southampton,2nd Class
696,0,3,male,44.0,8.05,Southampton,3rd Class
698,0,1,male,49.0,110.8833,Cherbourg,1st Class
699,0,3,male,42.0,7.65,Southampton,3rd Class
700,1,1,female,18.0,227.525,Cherbourg,1st Class
701,1,1,male,35.0,26.2875,Southampton,1st Class
702,0,3,female,18.0,14.4542,Cherbourg,3rd Class
703,0,3,male,25.0,7.7417,Queenstown,3rd Class
704,0,3,male,26.0,7.8542,Southampton,3rd Class
705,0,2,male,39.0,26.0,Southampton,2nd Class
706,1,2,female,45.0,13.5,Southampton,2nd Class
707,1,1,male,42.0,26.2875,Southampton,1st Class
708,1,1,female,22.0,151.55,Southampton,1st Class
710,1,1,female,24.0,49.5042,Cherbourg,1st Class
712,1,1,male,48.0,52.0,Southampton,1st Class
713,0,3,male,29.0,9.4833,Southampton,3rd Class
714,0,2,male,52.0,13.0,Southampton,2nd Class
715,0,3,male,19.0,7.65,Southampton,3rd Class
716,1,1,female,38.0,227.525,Cherbourg,1st Class
717,1,2,female,27.0,10.5,Southampton,2nd Class
719,0,3,male,33.0,7.775,Southampton,3rd Class
720,1,2,female,6.0,33.0,Southampton,2nd Class
721,0,3,male,17.0,7.0542,Southampton,3rd Class
722,0,2,male,34.0,13.0,Southampton,2nd Class
723,0,2,male,50.0,13.0,Southampton,2nd Class
724,1,1,male,27.0,53.1,Southampton,1st Class
725,0,3,male,20.0,8.6625,Southampton,3rd Class
726,1,2,female,30.0,21.0,Southampton,2nd Class
728,0,2,male,25.0,26.0,Southampton,2nd Class
729,0,3,female,25.0,7.925,Southampton,3rd Class
730,1,1,female,29.0,211.3375,Southampton,1st Class
731,0,3,male,11.0,18.7875,Cherbourg,3rd Class
733,0,2,male,23.0,13.0,Southampton,2nd Class
734,0,2,male,23.0,13.0,Southampton,2nd Class
735,0,3,male,28.5,16.1,Southampton,3rd Class
736,0,3,female,48.0,34.375,Southampton,3rd Class
737,1,1,male,35.0,512.3292,Cherbourg,1st Class
741,0,1,male,36.0,78.85,Southampton,1st Class
742,1,1,female,21.0,262.375,Cherbourg,1st Class
743,0,3,male,24.0,16.1,Southampton,3rd Class
744,1,3,male,31.0,7.925,Southampton,3rd Class
745,0,1,male,70.0,71.0,Southampton,1st Class
746,0,3,male,16.0,20.25,Southampton,3rd Class
747,1,2,female,30.0,13.0,Southampton,2nd Class
748,0,1,male,19.0,53.1,Southampton,1st Class
749,0,3,male,31.0,7.75,Queenstown,3rd Class
750,1,2,female,4.0,23.0,Southampton,2nd Class
751,1,3,male,6.0,12.475,Southampton,3rd Class
752,0,3,male,33.0,9.5,Southampton,3rd Class
753,0,3,male,23.0,7.8958,Southampton,3rd Class
754,1,2,female,48.0,65.0,Southampton,2nd Class
755,1,2,male,0.67,14.5,Southampton,2nd Class
756,0,3,male,28.0,7.7958,Southampton,3rd Class
757,0,2,male,18.0,11.5,Southampton,2nd Class
758,0,3,male,34.0,8.05,Southampton,3rd Class
759,1,1,female,33.0,86.5,Southampton,1st Class
761,0,3,male,41.0,7.125,Southampton,3rd Class
762,1,3,male,20.0,7.2292,Cherbourg,3rd Class
763,1,1,female,36.0,120.0,Southampton,1st Class
764,0,3,male,16.0,7.775,Southampton,3rd Class
765,1,1,female,51.0,77.9583,Southampton,1st Class
767,0,3,female,30.5,7.75,Queenstown,3rd Class
769,0,3,male,32.0,8.3625,Southampton,3rd Class
770,0,3,male,24.0,9.5,Southampton,3rd Class
771,0,3,male,48.0,7.8542,Southampton,3rd Class
772,0,2,female,57.0,10.5,Southampton,2nd Class
774,1,2,female,54.0,23.0,Southampton,2nd Class
775,0,3,male,18.0,7.75,Southampton,3rd Class
777,1,3,female,5.0,12.475,Southampton,3rd Class
779,1,1,female,43.0,211.3375,Southampton,1st Class
780,1,3,female,13.0,7.2292,Cherbourg,3rd Class
781,1,1,female,17.0,57.0,Southampton,1st Class
782,0,1,male,29.0,30.0,Southampton,1st Class
784,0,3,male,25.0,7.05,Southampton,3rd Class
785,0,3,male,25.0,7.25,Southampton,3rd Class
786,1,3,female,18.0,7.4958,Southampton,3rd Class
787,0,3,male,8.0,29.125,Queenstown,3rd Class
788,1,3,male,1.0,20.575,Southampton,3rd Class
789,0,1,male,46.0,79.2,Cherbourg,1st Class
791,0,2,male,16.0,26.0,Southampton,2nd Class
794,0,3,male,25.0,7.8958,Southampton,3rd Class
795,0,2,male,39.0,13.0,Southampton,2nd Class
796,1,1,female,49.0,25.9292,Southampton,1st Class
797,1,3,female,31.0,8.6833,Southampton,3rd Class
798,0,3,male,30.0,7.2292,Cherbourg,3rd Class
799,0,3,female,30.0,24.15,Southampton,3rd Class
800,0,2,male,34.0,13.0,Southampton,2nd Class
801,1,2,female,31.0,26.25,Southampton,2nd Class
802,1,1,male,11.0,120.0,Southampton,1st Class
803,1,3,male,0.42,8.5167,Cherbourg,3rd Class
804,1,3,male,27.0,6.975,Southampton,3rd Class
805,0,3,male,31.0,7.775,Southampton,3rd Class
806,0,1,male,39.0,0.0,Southampton,1st Class
807,0,3,female,18.0,7.775,Southampton,3rd Class
808,0,2,male,39.0,13.0,Southampton,2nd Class
809,1,1,female,33.0,53.1,Southampton,1st Class
810,0,3,male,26.0,7.8875,Southampton,3rd Class
811,0,3,male,39.0,24.15,Southampton,3rd Class
812,0,2,male,35.0,10.5,Southampton,2nd Class
813,0,3,female,6.0,31.275,Southampton,3rd Class
814,0,3,male,30.5,8.05,Southampton,3rd Class
816,0,3,female,23.0,7.925,Southampton,3rd Class
817,0,2,male,31.0,37.0042,Cherbourg,2nd Class
818,0,3,male,43.0,6.45,Southampton,3rd Class
819,0,3,male,10.0,27.9,Southampton,3rd Class
820,1,1,female,52.0,93.5,Southampton,1st Class
821,1,3,male,27.0,8.6625,Southampton,3rd Class
822,0,1,male,38.0,0.0,Southampton,1st Class
823,1,3,female,27.0,12.475,Southampton,3rd Class
824,0,3,male,2.0,39.6875,Southampton,3rd Class
827,1,2,male,1.0,37.0042,Cherbourg,2nd Class
830,1,3,female,15.0,14.4542,Cherbourg,3rd Class
831,1,2,male,0.83,18.75,Southampton,2nd Class
833,0,3,male,23.0,7.8542,Southampton,3rd Class
834,0,3,male,18.0,8.3,Southampton,3rd Class
835,1,1,female,39.0,83.1583,Cherbourg,1st Class
836,0,3,male,21.0,8.6625,Southampton,3rd Class
838,1,3,male,32.0,56.4958,Southampton,3rd Class
840,0,3,male,20.0,7.925,Southampton,3rd Class
841,0,2,male,16.0,10.5,Southampton,2nd Class
842,1,1,female,30.0,31.0,Cherbourg,1st Class
843,0,3,male,34.5,6.4375,Cherbourg,3rd Class
844,0,3,male,17.0,8.6625,Southampton,3rd Class
845,0,3,male,42.0,7.55,Southampton,3rd Class
847,0,3,male,35.0,7.8958,Cherbourg,3rd Class
848,0,2,male,28.0,33.0,Southampton,2nd Class
850,0,3,male,4.0,31.275,Southampton,3rd Class
851,0,3,male,74.0,7.775,Southampton,3rd Class
852,0,3,female,9.0,15.2458,Cherbourg,3rd Class
853,1,1,female,16.0,39.4,Southampton,1st Class
854,0,2,female,44.0,26.0,Southampton,2nd Class
855,1,3,female,18.0,9.35,Southampton,3rd Class
856,1,1,female,45.0,164.8667,Southampton,1st Class
857,1,1,male,51.0,26.55,Southampton,1st Class
858,1,3,female,24.0,19.2583,Cherbourg,3rd Class
860,0,3,male,41.0,14.1083,Southampton,3rd Class
861,0,2,male,21.0,11.5,Southampton,2nd Class
862,1,1,female,48.0,25.9292,Southampton,1st Class
864,0,2,male,24.0,13.0,Southampton,2nd Class
865,1,2,female,42.0,13.0,Southampton,2nd Class
866,1,2,female,27.0,13.8583,Cherbourg,2nd Class
867,0,1,male,31.0,50.4958,Southampton,1st Class
869,1,3,male,4.0,11.1333,Southampton,3rd Class
870,0,3,male,26.0,7.8958,Southampton,3rd Class
871,1,1,female,47.0,52.5542,Southampton,1st Class
872,0,1,male,33.0,5.0,Southampton,1st Class
873,0,3,male,47.0,9.0,Southampton,3rd Class
874,1,2,female,28.0,24.0,Cherbourg,2nd Class
875,1,3,female,15.0,7.225,Cherbourg,3rd Class
876,0,3,male,20.0,9.8458,Southampton,3rd Class
877,0,3,male,19.0,7.8958,Southampton,3rd Class
879,1,1,female,56.0,83.1583,Cherbourg,1st Class
880,1,2,female,25.0,26.0,Southampton,2nd Class
881,0,3,male,33.0,7.8958,Southampton,3rd Class
882,0,3,female,22.0,10.5167,Southampton,3rd Class
883,0,2,male,28.0,10.5,Southampton,2nd Class
884,0,3,male,25.0,7.05,Southampton,3rd Class
885,0,3,female,39.0,29.125,Queenstown,3rd Class
886,0,2,male,27.0,13.0,Southampton,2nd Class
887,1,1,female,19.0,30.0,Southampton,1st Class
889,1,1,male,26.0,30.0,Cherbourg,1st Class
890,0,3,male,32.0,7.75,Queenstown,3rd Class
